iso_code,2022_last_updated,2021_population,growth_rate,world_%,rank
MYS,"34,126,332","33,573,874",1.09%,0.43%,45
MDV,"522,193","521,457",0.45%,0.01%,174
MLI,"22,942,711","21,904,983",3.14%,0.28%,59
MLT,"534,880","526,748",1.24%,0.01%,173
MHL,"41,569","42,050",-1.14%,0.00%,215
MTQ,"367,507","368,796",-0.35%,0.00%,180
MRT,"4,799,905","4,614,974",2.63%,0.06%,126
MUS,"1,299,469","1,298,915",0.04%,0.02%,157
MYT,"330,883","316,014",3.19%,0.00%,182
MEX,"127,988,749","126,705,138",0.63%,1.60%,10
MDA,"3,499,367","3,061,506",6.91%,0.04%,135
MCO,"36,469","36,686",-0.59%,0.00%,217
MNG,"3,423,873","3,347,782",1.51%,0.04%,134
MNE,"627,082","627,859",-0.12%,0.01%,169
MSR,"4,390","4,417",-0.61%,MSR,230
MAR,"37,654,052","37,076,584",1.03%,0.47%,40
MOZ,"33,425,447","32,077,072",2.78%,0.41%,48
NAM,"2,584,548","2,530,151",1.46%,0.03%,145
NPL,"30,724,532","30,034,989",1.71%,0.38%,49
NLD,"17,591,115","17,501,696",0.36%,0.22%,71
NCL,"291,544","287,800",0.75%,0.00%,185
NZL,"5,207,606","5,129,727",1.08%,0.07%,123
NIC,"6,997,811","6,850,540",1.43%,0.09%,106
NER,"26,700,572","25,252,722",3.78%,0.33%,54
NGA,"221,181,138","213,401,323",2.41%,2.74%,6
MKD,"2,088,817","2,103,330",-0.46%,0.03%,150
NOR,"5,455,043","5,403,021",0.58%,0.07%,120
OMN,"4,609,775","4,520,471",1.23%,0.06%,127
PAK,"238,149,145","231,402,117",1.91%,2.96%,5
PAN,"4,438,870","4,351,267",1.32%,0.06%,128
PNG,"10,238,269","9,949,437",1.94%,0.13%,93
PRY,"6,819,004","6,703,799",1.15%,0.09%,109
PER,"34,188,280","33,715,471",0.99%,0.43%,44
PHL,"116,461,303","113,880,328",1.47%,1.45%,13
POL,"41,494,346","38,307,726",4.04%,0.50%,37
PRT,"10,259,706","10,290,103",-0.19%,0.13%,92
QAT,"2,706,281","2,688,235",0.26%,0.03%,143
ROU,"20,059,401","19,328,560",1.71%,0.25%,64
RUS,"144,694,184","145,102,755",-0.27%,1.81%,9
RWA,"13,936,114","13,461,888",2.34%,0.17%,76
KNA,"47,657","47,606",0.11%,0.00%,211
LCA,"179,857","179,651",0.11%,0.00%,190
SPM,"5,862","5,883",-0.36%,SPM,229
VCT,"103,948","104,332",-0.37%,0.00%,199
WSM,"223,976","218,764",1.65%,0.00%,188
SMR,"33,660","33,745",-0.25%,0.00%,218
STP,"228,974","223,107",1.92%,0.00%,187
SAU,"36,684,609","35,950,396",1.28%,0.46%,41
SEN,"17,538,037","16,876,720",2.61%,0.22%,72
